pka_energy,diffusivity,h0,run,final_magnetization,timestamp
5700,1.0,0.08,9,-0.9471111111111112,2025-02-23 10:38:52
5700,1.0,0.08,10,-0.9514666666666668,2025-02-23 10:38:52
5700,1.0,0.08,11,-0.9548444444444444,2025-02-23 10:38:52
5700,1.0,0.08,12,-0.9523555555555556,2025-02-23 10:38:52
5700,1.0,0.08,13,-0.9533333333333334,2025-02-23 10:38:52
5700,1.0,0.08,14,-0.1048,2025-02-23 10:38:52
5700,1.0,0.08,15,-0.9544,2025-02-23 10:38:52
5700,1.0,0.08,16,-0.9454222222222224,2025-02-23 10:38:52
5700,1.0,0.08,17,-0.9525333333333332,2025-02-23 10:38:52
5700,1.0,0.08,18,-0.9496888888888888,2025-02-23 10:38:52
5700,1.0,0.08,19,-0.9492444444444444,2025-02-23 10:38:52
5700,1.0,0.08,20,-0.9474666666666668,2025-02-23 10:38:52
5700,1.0,0.08,21,-0.9572444444444445,2025-02-23 10:38:52
5700,1.0,0.08,22,-0.9476444444444444,2025-02-23 10:38:52
5700,1.0,0.08,23,-0.9499555555555556,2025-02-23 10:38:52
5700,1.0,0.08,24,-0.9540444444444444,2025-02-23 10:38:52
5700,1.0,0.08,25,-0.9531555555555556,2025-02-23 10:38:52
5800,1.0,0.08,1,-0.9517333333333332,2025-02-23 10:38:52
5800,1.0,0.08,2,-0.9513777777777778,2025-02-23 10:38:52
5800,1.0,0.08,3,-0.0685333333333333,2025-02-23 10:38:52
5800,1.0,0.08,4,-0.6400888888888889,2025-02-23 10:38:52
5800,1.0,0.08,5,-0.9468444444444444,2025-02-23 10:38:52
5800,1.0,0.08,6,0.1467555555555555,2025-02-23 10:38:52
5800,1.0,0.08,7,-0.9576888888888888,2025-02-23 10:38:52
5800,1.0,0.08,8,-0.9524444444444444,2025-02-23 10:38:52
5800,1.0,0.08,9,0.9536,2025-02-23 10:38:52
5800,1.0,0.08,10,-0.9542222222222222,2025-02-23 10:38:52
5800,1.0,0.08,11,-0.9487111111111112,2025-02-23 10:38:52
5800,1.0,0.08,12,-0.9503111111111112,2025-02-23 10:38:52
5800,1.0,0.08,13,0.9483555555555556,2025-02-23 10:38:52
5800,1.0,0.08,14,-0.9507555555555556,2025-02-23 10:38:52
5800,1.0,0.08,15,-0.9449777777777778,2025-02-23 10:38:52
5800,1.0,0.08,16,-0.9483555555555556,2025-02-23 10:38:52
5800,1.0,0.08,17,-0.9521777777777778,2025-02-23 10:38:52
5800,1.0,0.08,18,-0.9483555555555556,2025-02-23 10:38:52
5800,1.0,0.08,19,-0.9525333333333332,2025-02-23 10:38:52
5800,1.0,0.08,20,-0.9524444444444444,2025-02-23 10:38:52
5800,1.0,0.08,21,-0.9525333333333332,2025-02-23 10:38:52
5800,1.0,0.08,22,-0.9472888888888888,2025-02-23 10:38:52
5800,1.0,0.08,23,-0.9489777777777778,2025-02-23 10:38:52
5800,1.0,0.08,24,0.6880888888888889,2025-02-23 10:38:52
5800,1.0,0.08,25,-0.9486222222222224,2025-02-23 10:38:52
5900,1.0,0.08,1,-0.9528888888888888,2025-02-23 10:38:52
5900,1.0,0.08,2,-0.9554666666666668,2025-02-23 10:38:52
5900,1.0,0.08,3,0.1467555555555555,2025-02-23 10:38:52
5900,1.0,0.08,4,0.9497777777777778,2025-02-23 10:38:52
5900,1.0,0.08,5,-0.9560888888888888,2025-02-23 10:38:52
5900,1.0,0.08,6,-0.9496888888888888,2025-02-23 10:38:52
5900,1.0,0.08,7,-0.9527111111111112,2025-02-23 10:38:52
5900,1.0,0.08,8,0.1821333333333333,2025-02-23 10:38:52
5900,1.0,0.08,9,-0.9477333333333332,2025-02-23 10:38:52
5900,1.0,0.08,10,-0.9541333333333334,2025-02-23 10:38:52
5900,1.0,0.08,11,-0.9500444444444444,2025-02-23 10:38:52
5900,1.0,0.08,12,-0.9504,2025-02-23 10:38:52
5900,1.0,0.08,13,0.4352,2025-02-23 10:38:52
5900,1.0,0.08,14,-0.9512,2025-02-23 10:38:52
5900,1.0,0.08,15,0.9512888888888889,2025-02-23 10:38:52
5900,1.0,0.08,16,0.5605333333333333,2025-02-23 10:38:52
5900,1.0,0.08,17,-0.9543111111111112,2025-02-23 10:38:52
5900,1.0,0.08,18,-0.9512,2025-02-23 10:38:52
5900,1.0,0.08,19,-0.9497777777777778,2025-02-23 10:38:52
5900,1.0,0.08,20,0.9488,2025-02-23 10:38:52
5900,1.0,0.08,21,-0.9531555555555556,2025-02-23 10:38:52
5900,1.0,0.08,22,-0.9510222222222222,2025-02-23 10:38:52
